label,content
0,别 浪费 ， 几十块 也 是 钱 ， 现在 已经 在 当 抹布 使用 。
0,快递 好慢 ， 颜色 与 实物 不 符合 ? ?
0,质量 差 、 服务 差 ！ 没有 遇到 这样 的 客服 、 不 建议 大家 购买
0,未 到货   问题 也 不 解决     直接 跳 出来 让 我 评价   呵呵
0,过 水   起球   估计 是 水 的 原因
0,没有 想象 的 好 ， 不 值得 购买 ， 洗后 缩水
0,之前 也 买 过 这家 的 ， 但 这次 买 的 衣服 与 之前 相比 ， 质量 差 了 档次 ， 以后 不再 买 了 。
0,袖口 出未 缝合 ， 有 大洞
0,不 知道 你们 怎么回事 ， 连续 购买 了 两次 ， 第一次 挺 好 的 ， 第二次 质量 跟 第一次 明显 不
0,质量 太 一般 了 ！ 都 起球 了 ！
0,大家 不要 买 ， 质量 太差 了 ， 穿 就 掉色 。
0,没法 穿 ， 质量 太 差 ， 硌 得 慌 ， 就 当 买来 当 擦布 吧
0,太 差 ， 太 差 ， 穿着 不 舒服 。 谁 买 谁 后悔 。
0,太 气愤 ? ！ 衣服 上 各种 起球 ， 衣服 材质 很 硬 。
0,差评 ， 掉色 ， 我 就 穿 3 次
0,这 垃圾 衣服 . 掉 毛 严重 ..
0,留言 说好 颜色 ， 答应 好好 的 。 结果 还是 没有 按照 约定 的 发货 。 失望
0,太 差 ， 太 差 ， 穿着 不 舒服 。 谁 买 谁 后悔 。 质量 也 不好 ， 京东 也 有 垃圾 货
0,穿 在 身上 老是 感觉 不得劲 ， 老 感觉 穿 反 了 ， 设计 的 问题 很大 啊
0,太厚 了 ， 这种 布料 夏天 穿着 热死 人 ， 秋衣 还 可以 ， 商家 真坏 ， 压根 不能 穿
0,衣服 质量 差 ， 皱巴巴 的 ， 很素 ， 上面 没有 什么 图案 ， 就是 布 做成 的 ， 连 个 商标 都 没有 ， 不 建议 买
0,三件 衣服 ， 同一个 尺码 ， 三件 的 大小 都 不同 ， 有 小 的 不能 穿 ， 不说 其他 的 ， 尺码 都 不能 保证 ， 真是 无语 好 吗
0,要 灰 给 发蓝   记不住 事 吗 ？
0,# 儿 ， 没 质检 吗 ？ 都 没 缝好 就 出货
0,非常 差 ， 差评 根本 和 描述 的 不 ， # 商家 骗人 。
0,白色 的 明显 大 好多 ， 另外 两件 明显 小 ， 材料 差 ， 洗 几次 就 穿 不了 ， 大家 别 上当 了 别 买 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 不是 恶意 差评 ！
0,买 三件 发错 两件
0,穿 两天 就 掉色 了
0,您 没有 填写 评价 内容
0,一般 吧
0,刚 穿 就 成 这样
0,号码 偏小
0,简直 就是 垃圾 。
0,衣服 很 一般
0,质量 不好 的
0,穿 在 身上 老是 感觉 不得劲 ， 老 感觉 穿 反 了 ， 设计 的 问题 很大 啊
0,不 知道 你们 怎么回事 ， 连续 购买 了 两次 ， 第一次 挺 好 的 ， 第二次 质量 跟 第一次 明显 不
0,这 垃圾 衣服 . 掉 毛 严重 ..
0,此 用户 未填写 评价 内容
0,此 用户 未填写 评价 内容
0,# 儿 ， 没 质检 吗 ？ 都 没 缝好 就 出货
0,此 用户 未填写 评价 内容
0,号码 偏小
0,此 用户 未填写 评价 内容
0,此 用户 未填写 评价 内容
0,刚 穿 就 成 这样
0,此 用户 未填写 评价 内容
0,快递 好慢 ， 颜色 与 实物 不 符合 ? ?
0,质量 太 一般 了 ！ 都 起球 了 ！
0,一般 吧
0,此 用户 未填写 评价 内容
