label,content
1,昨天 刚买 的 今天 就 降价 30 块钱
1,千元 左右 的 机 就是 这 样子 了
1,用 了 快 了 时不时 的 没 信号
1,显示 有 赠品 ！ 为什么 收不到
1,快递 包裹 简陋 ， 没有 装防 摔 的 气囊 ！
1,商品 赠送 物品 与 图片 不符 ，
1,不 及时     不 满意       购物 体验
1,像是 被 用 过 ， 盒子 有 打开 的 痕迹 。
1,包装 ， 数据线 有点 黑点
1,说 的 送 电话卡 最后 莫名其妙 就 没 了
1,新机 第二天 ， 卡到 怀疑 人生 。
1,打电话 ， 语音 视频 ， 对方 都 是 声音 噪杂 。
1,购机 发票 都 没有 开 请问 什么 情况 下
1,说好 的 蓝牙 耳机 赠品 没 得 ！
1,里面 ， 没有 保修卡 。 说明书 三保 卡 。 。 山寨 的 吧
1,耗电 快 ， 只接 打电话 都 不够 用
1,"不 满意 
 外形 ： 左上方 有 划痕"
1,收到 货 5 天 很少 用 ， 才 发现 有 瑕疵 不 给 退货
1,店家 承诺 送达 时间 与 实际 配送 时间 不符
1,连 个 耳机 都 不 送 ， 难道 还要 单独 买 么
1,新手机 用 起来 卡 的 不要 不要 的 了 。
1,续航 太短 。 之前 买 荣耀 和 真 我 续航 还 不错 。
1,配送 员 很 好 ， 一般 。 建议 别买
1,没 电 ， 充电 一直 这样 ？ ？ ？ ？
1,买 了 礼拜 了 货 还 没到
1,降 了 一百多   价保 只 给 四十   找 客服 也 都 是 机器人
1,还是 那句话 ， 下 的 是 两单
1,给 了 个 故障 机 ， 不停 的 重启
1,黑边 的 膜 以后 真 买 了
1,有 问题 难 处理 ， 有 问题 难 处理 ， 有 问题 难 处理 。
1,谁 他 喵 的 说 这个 型号 不卡 的
1,页面 有 赠品 的 ， 收到 后后 啥 没有
1,反应 慢 ， 卡顿 ， 不 值得 购买
1,容易 发烫 ， 换货 都 快 一周 了 都 没 换过来
1,电池 不经用 ， 充满 电看 电影 只能 看 4 个 小时
1,差差 差   降价 不 给 退 差价   申请 售后 无效
1,买 之前 说 有 赠品 ， 根本 就 没 赠品 ，
1,收到 后盖 有 一道 摔裂 了
1,说 的 送 蓝牙 耳机 ？ 收到 的 货 没有 呀 怎么 ？
1,送 的 包 呢 ？ 一直 不 发货 也 没有 说 时间
1,， 用 了 2 个 月 卡死 了
1,偏暗 ！ 给 老年人 用 的 ！
1,赠送 的 东西 系统 显示 有 为什么 我 没收 到
1,刚 收到 货 的 第二天 降价 一百 ， 气愤
1,刚买 到手 你们 就 降价 ， 服 了
1,触摸屏 不 精准 ， 和 之前 的 小米 十差 太多
1,十几天 就 降价 。 我服 。
1,刚买 完 ， 就 降价 30 ， 还 保价 了
1,体验 很 好 ， 不如 华为 荣耀
1,一般般 ， 关键 买 了 10 天 ， 价格 就 降 了 130
1,包装 破 了 。 。 。 好 在 机器 没事 。 。 。
1,辣椒   打游戏 老是 卡
1,外包装 破损 ， 内 外包装 一股 尿骚 臭 ， 可惜 没
1,主 页面 显示 有 赠品     到货 没有     耍 皮 呢
1,刚买 一条 降价 100 ， 呵呵 呵 ， 不愧 是 你 ，
1,购买 钱 专门 问 了 赠品 有 的 ， 结果 没有 收到
1,说 的 好听 ， 说 的 送 篮牙 耳机 ， 到手 没有 耳机
1,买 了 5 天 ， 就 突然 降价 ， 一次 不 愉快 的 购物
1,用 了 了 ， 会 时不时 自动 重启 ，
1,买 时说 有 赠品 ， 发货 就 没 ， 还是 官方 上 买 的 ， 套路 深深 深 。
1,买 的 时候 上面 写 有 赠品 ， 但是 到货 的 时候 没有 赠品 。
1,物流 很快 ， 买手机 不带 耳机 这 让 我 说 什么 好 呢 ？
1,王者 荣耀 带不动 ， 卡到 飞起
1,锌 买 的 就 用 的 卡 ， 不 推荐
1,原厂 自带 软膜 化 了 ， 很 粘 灰尘 。 。 。 。
1,包装 破损 ， 找 客服 和 京东 都 相互 扯皮
1,拆开 快递 就 发现 有 划痕
1,充电 发热 ， 看 视频 都 发热 ！ 伤心
1,未 送货 ， 快递 员 已 给 我 赔款
1,本来 说 ? ? 蓝牙 耳机 ， 发过来 却 没有 ， 订单 信息 都 改变 了
1,听筒 声音 小 ， 外放 声音 小 。
1,刚买 完 就 降价 ， 我 也 是 服 了 & hellip ; & hellip ;
1,质量 差 ， 播放 音频 有 噪音
1,一直 显示 无 信号 ， 小米 的 通病
1,赠品 显示 送到 了 ， 但是 签收 不了 ， 客服 也 不管 ， 真是 服 了
1,充电器 有 划痕 ， 外包装 没有 痕迹
1,： 有时候 会有 卡顿
1,不错 ， 但是 你 送 我 的 背包 那 ， 你 咋 没有 给 我 邮寄 过来 啊 ，
1,体验 感差 ， 物流 好评 吧
1,质量 ， 换货 周期长
1,标明 30 天价 保 ， 结果 申请 价保 都 是 各种 理由
1,用 ， 分辨率 也 ， 不太 适应
1,非常 卡 ， 再也不会 了 买 小米
1,二 ， 上 机主 小米 账号 还 没 退出
1,刚刚 买 了 就 落价 ， 还 不 给 申请 价保
1,买 了 就 降价     的 内存 就 颜色 不 价钱 就 不
1,联网 ， 要 退货
1,闹钟 经常 不响 ， 搞 事情 吗
1,取消 订单 了 还 发过来 ， 发过来 就算 了 我 就 当 买 了 。 赠品 就 不 给我发 了
1,用 了 开始 黑屏 ，
1,容易 卡 ， 有时候 声音 突然 就 没 了 ， 要 重启 下 才 有
1,小米 商城 上 1199 元 ， 还 送 99 元 的 定制 聚酯纤维 双肩包 。
1,电池 不给力 ， 机身 有 使用 痕迹
1,人工 电话 没人接   服务 差
1,用 了 ， 故障 没 信号
1,一分钱 一分货 ， 不过 也 对不起 这个 价位
1,， 说好 有 包送 收到 说 数量 有限 奇葩 机子 也 没有 实体店 买 的 好
1,都 是 成年人   玩 * * 的 文字游戏 呢 ？
1,写 的 送 双肩 背包 ， 结果 啥 也 没有 ， * *
1,这用 了 四天 就 开始 有点 卡 了 ，
1,才 买 没 几天 ， 已经 好 几次 卡屏 了
1,有 暗病 呢 ？     黑屏 ， 能 看到 有 小 白点
1,不错   但是 我 还是 要 给 个 差评 京东 ， 因为 上 一部 的 问题
1,不怎么 行 ， 刚用 就 感觉 卡顿
1,送货 简直 是 龟速 ， 没有 一次 是 准时 送到 的
1,外放 声音 自动 变小 ！ ！ ！ 质量 差 ！ ！ 什么 情况 ？ ？
1,用 ， 怀疑 是 山寨 版 ， 挺 后悔 选择 小米
1,充满 电 12 个 小时 几没电 了 中途 还 没有 玩
1,电池 极不经用 ， 反应迟钝 。 不如 10X
1,新手机 就 这样 的 ， 客服 态度 也 ！ 4 天才 收到 货 ！
1,京东 物流 没 的 说 ， 但是 产品 售后 啥 也
1,一般般 ， 没 想象 的 好 用
1,才 买 几天 ， 就 降价 了 ， 不 给 价格 保护 。 质量 一般 ， 配置 低 。
1,被 出售 过 ， 打开 有 别人 以前 储存 的 聚餐 及 旅游 照片
1,你 刷 俩 三个 视频 他 就 发烫 。 发烫 严重
1,这 款 不 值得 ， 建议 购买 其他
1,定金 100       说成 优惠 200 元       含 定金         出售 还是 价
1,一直 以为 买 的 是 小米 note11   Pro ， 后来 才 弄清楚 原来 没有 Pro ， 那 你 题目 上 写 Pro 干嘛
1,插卡 后 没有 信号 ， 卡取 不 出来 ， 而且 售后 极差 。
1,就 我 下单 没 赠品     牛批
1,有 bug ， 用 了 几天 切换 有点 卡 ， 得 重启 才能 解决
1,不 咋 地 没有 出现 关机 重启 多次
1,用 了 - 个 月 就 开始 卡 了
1,至今 没有 收到 ， 也 没 电话 通知 ！ ！ ！
1,刚 买回来 ， 就 烧 了 我 的 电话卡
1,才 用 了 19 天 主板 就 坏 了 ， 找 客服 处理 净 是 在 哪里 敷衍
1,连不上 无线网 ， 换 了 还是 使
1,"为什么   没有 耳机 
 物流 也 没有 按时 到"
1,才 两天 闪屏 ， 还有 一道 一道 的
1,京东 快递 现在 送 东西 都 不 打电话 吗 ？ 直接 没收 到货 就 签收 了
1,因为 着急 用 了 ， 有 划破 ， 问 售后 没 人理 你
1,到 了 ， 赠品 没有 到
1,用 了 几天 充电器 就 坏 了 ， 联系 客服 一直 是 机器人
1,在 送货 的 时候 不 负责 ， 货 和 收货人 不 确定 就 自动 收货 了 。
1,第二天 便宜 一百块 钱 ?
1,能 用     但是 没有 5G 网
1,这送 的 杯子 用来 喝水 ， 今天 擦 杯口 才 发现 是 黑 的 。 不会 中毒 吧 ？
1,信号 差差 用 两个 月 网 都 没有 ， 经常 断网 ，
1,没有 安 规定 时间 送达 ， 赠品 没有 及时 送 ， 为 经过 本人 同意 私自 签收
1,我刚 买 你 就 降价 你 几个 意思   买 的 时候 1299 块 货到 之后 再 看 1168 块 你 说 气不气
1,刚刚 收到 ， 质量 有 问题 ， 点 没有 反应
1,还好 ， 电池 5000 毫安 也 不 可以 ， 不禁 用
1,卡得 要死 按键 还 不灵敏 ， 不 知道 是不是 正品
1,老年 机 ， 年轻人 想 打游戏 就 放弃 吧 ， 卡 的 一批 。
1,不耐电 ， 反应迟钝 。
1,明明 写 的 是 双卡 双待 ，   咋 拿到 手是 单卡 呢 ？
1,收到 的 预装 有 很多 不 需要 的 软件
1,好 多功能 都 被 阉割 了 ，
1,很 耗电 ， 很大 ， 用 着 还行 。
1,手机信号 反应 慢 。
1,最 基本 通话 功能 都 ， 干脆 叫 平板 算了
1,内 无 说明书 ， 三保 凭证 ， 过后 再评 1 ， 第一次 买 到 这样 的 商品 。
1,总是 掉 wifi ， 还 没 去 检测 ， 但是 新机 就 出 问题 ， 体验 真差
1,5 月份 生产 出来 的 ， 6 月 搞 活动 ， 1299 ， 买 了 两个 ， 再 降价 ， 消费者 伤不起 ！
1,： 之前 买 的 相机 都 不 这样 ， 现在 这个 一言难尽
1,信号 贼 差 。 盒 包装 打开 里面 有 指纹 。 怀疑 新机
1,就 我 下单 没 赠品     牛批
1,用 了 19 天 主板 就 坏 了 ， 找 客服 处理 就 只会 敷衍 你
1,颜色 不够 新鲜 ， 今天 早上 没 信号 ， 这 肯定 是 水货 今后 谁 也 别 买 小米
1,不知 为何 经常 闪屏     又 不 给 我 换 ? ? ?
1,帮 家里 亲戚 买 的 ， 还 没用 多久 各种 问题 都 有 ， 难用 的 要死
1,7 天一 过 ， 就 各种 经常性 的 卡机 ， 还是 别人 激活 后 的 退货 。
1,只有 一张 卡 可以 用 ， 另 一张 直接 用
1,拿到 一段时间 了 ， 现在 已经 连不上 网络 了
1,刚用 几天 就 黑屏 了 ， 以后 不 在 网上 买 东西 了 ！
1,经常性 自动关机 ， 才 用
1,稍 有 卡顿   耗电量 快   价格 也 比 别的 销售 渠道 贵 二百多
1,给 老爸 买 的   上面 写 的 清清楚楚 价保 618   刚买 两天 又 送 100 优惠券   完 了 告诉 我 我 的 价保   外包装 也 是 破 的
1,买 的 时候 说 有 赠品   收到 货 的 时候 没有 赠品   又 说 赠品 有限   还 不如 直接 说 没有 赠品
1,放 视频 声音 很 尖锐 ， 就是 声音 ， 而且 经常 听 。
1,搞 活动 就 1299 ， 没 活动 就 1199 ！ 这 韭菜 割得 真好 ！
1,死机 。 接电话 就 死机 。 。 。 。 。 。 。 lj
1,信号 ， 钢化 膜 也 没有 ， 就 贴 个 膜
1,啥 都 ， 说好 的 赠品 ， 已经 好多天 ， 送 就 送 ， 不送 就 不 送 ， 几个 意思 & hellip ;
1,网速 比 我 用 了 N年 的 4G 还烂   卡 的
1,用 了 半个 月 发生 好 几次 怎么 按 开锁 键 都 黑屏 什么 都 看不到
1,不 适合 老年人 使用   ， 自动 跳出 广告 ， 关都 关不掉
1,用 几天 就 开始 卡 了 ， 有时候 还 强制 关机
1,接 ， 视频 是 黑屏 的 ， 前置 摄像头
1,打开 一看 ， 后面 标签 里面 沾 着 一根 头发 ， 找 客服 就是 抱歉 抱歉 抱歉 ， 啥 也 不 给 解决
1,相机 不 清楚 后置 摄像头 5000 万 像素 拍 出来 发黑 不 满意
1,新买 的 有 问题 ， 咨询 了 客服 让 我 自己 去 维修 店 ， 如果 没 人 处理 的话 我 每天 发 一条
1,充电 快 ， 但 当天 就要 充 ， 就算 不怎么 用 也 很快 没 电
1,没有 呼吸 灯 ， 太 大
1,打游戏 ， 穿越 飞车 这种 简单 的 手游 都 ， 会 掉 帧 。
1,5 月份 生产 出来 的 ， 6 月 搞 活动 ， 1299 ， 买 了 两个 ， 再 降价 ， 消费者 伤不起 ！
1,填错 地址 了 凌晨 两点 起来 改 地址 都 没 来得及 ， 是 是 是 一个个 振振有词 的 都 没错 问题 是 我 上 哪 找 快递 去 ， 打 车费 你 出 ？ 那 既然 来不及 何必 还有 改 的 功能 呢 这事 也 怪 不 上 人家 快递 员 那 就是 你们 京东 服务 了
1,自带 的 广告 老人 根本 就 不会 关 ， 广告 多到 都 没法 使用
1,冲着 不用 贴膜 买 的 ， 结果 收到 货     膜 没 贴 好 灰尘 都 在 里面
1,这 款 ， 用 的 时候 用 ， 好多 软件 下载
1,618 前 买 的 ， 价钱 没 便宜 反而 高 了 很多 ！ 虚假 营销 手段 ， 以后 再也 不 相信 618 了
