label,content
neg,昨天刚买的今天就降价30块钱
neg,千元左右的机就是这样子了
neg,用了快一个月了时不时的没信号
neg,显示有赠品！为什么收不到
neg,快递包裹简陋，没有装防摔的气囊！
neg,商品赠送物品与图片不符，
neg,不及时  不满意   购物体验不好
neg,像是被用过，盒子有打开的痕迹。
neg,包装不行，手机数据线有点黑点
neg,说的送电话卡最后莫名其妙就没了
neg,新机第二天，卡到怀疑人生。
neg,打电话，语音视频，对方都是声音噪杂。
neg,购机发票都没有开请问什么情况下
neg,说好的蓝牙耳机赠品没得！
neg,手机里面，没有保修卡。说明书三保卡。。山寨的吧
neg,手机耗电快，只接打电话一天都不够用
neg,"不满意
外形外观：左上方有划痕"
neg,收到货5天很少用，才发现屏幕有瑕疵不给退货
neg,店家承诺送达时间与实际配送时间不符
neg,连个耳机都不送，难道还要单独买么
neg,新手机用起来卡的不要不要的了。
neg,续航太短。之前买荣耀和真我续航还不错。
neg,配送员很好，手机一般。建议别买
neg,手机没电，充电一直这样？？？？
neg,买了一个礼拜了货还没到
neg,降了一百多 价保只给四十 找客服也都是机器人
neg,还是那句话，下的是两单
neg,给了个故障机，不停的重启
neg,黑边的膜以后真不能买了
neg,有问题难处理，有问题难处理，有问题难处理。
neg,谁他喵的说这个型号不卡的
neg,页面有赠品的，收到后后啥没有
neg,反应慢，卡顿，不值得购买
neg,手机容易发烫，换货都快一周了都没换过来
neg,电池不经用，充满电看电影只能看4个小时
neg,差差差 降价不给退差价 申请售后无效
neg,买之前说有赠品，根本就没赠品，
neg,收到手机后盖有一道摔裂了
neg,说的送蓝牙耳机？收到的货没有呀怎么？
neg,送的包呢？一直不发货也没有说时间
neg,不好，手机用了2个月卡死了
neg,屏幕偏暗！给老年人用的！
neg,赠送的东西系统显示有为什么我没收到
neg,刚收到货的第二天降价一百，气愤
neg,刚买到手你们就降价，服了
neg,手机触摸屏不精准，和之前的小米十差太多
neg,十几天就降价。我服。
neg,刚买完，就降价30，还不能保价了
neg,体验不是很好，不如华为荣耀
neg,一般般，关键买了10天，价格就降了130
neg,包装破了。。。好在机器没事。。。
neg,辣椒手机 打游戏老是卡
neg,外包装破损，内外包装一股尿骚臭，可惜没拍照
neg,主页面显示有赠品  到货没有  耍皮呢
neg,刚买一条降价100，呵呵呵，不愧是你，
neg,购买钱专门问了赠品有的，结果没有收到
neg,说的好听，说的送篮牙耳机，到手没有耳机
neg,买了5天，就突然降价，一次不愉快的购物
neg,用了一个月了，会时不时自动重启，
neg,买时说有赠品，发货就没，还是官方上买的，套路深深深。
neg,买的时候上面写有赠品，但是到货的时候没有赠品。
neg,物流很快，买手机不带耳机这让我说什么好呢？
neg,王者荣耀带不动，卡到飞起
neg,锌买的就用的卡，不推荐
neg,原厂自带软膜化了，很粘灰尘。。。。
neg,包装破损，找客服和京东都相互扯皮
neg,拆开快递就发现手机有划痕
neg,充电发热，看视频都发热！伤心
neg,未送货，快递员已给我赔款
neg,本来说??蓝牙耳机，发过来却没有，订单信息都改变了
neg,听筒声音小，外放声音小。
neg,刚买完就降价，我也是服了&hellip;&hellip;
neg,质量差，播放音频有噪音
neg,一直显示无信号，小米的通病
neg,赠品显示送到了，但是签收不了，客服也不管，真是服了
neg,充电器有划痕，外包装没有痕迹
neg,运行速度：有时候会有卡顿
neg,手机不错，但是你送我的背包那，你咋没有给我邮寄过来啊，
neg,体验感差，物流好评吧
neg,质量不好，换货周期长
neg,标明30天价保，结果申请价保都是各种理由
neg,不好用，分辨率也不行，不太适应
neg,手机非常卡，再也不会了买小米
neg,二手机，上一个机主小米账号还没退出
neg,刚刚买了就落价，还不给申请价保
neg,买了就降价  一样的内存就颜色不一样价钱就不一样
neg,手机不能联网，要退货
neg,闹钟经常不响，搞事情吗
neg,取消订单了还发过来，发过来就算了我就当买了。赠品就不给我发了
neg,用了一个月不到开始黑屏，
neg,容易卡，有时候声音突然就没了，要重启下才有
neg,小米商城上1199元，还送99元的定制聚酯纤维双肩包。
neg,电池不给力，机身有使用痕迹
neg,人工电话没人接 服务差
neg,用了一个月，手机故障没信号
neg,一分钱一分货，不过也对不起这个价位
neg,不好，说好有包送收到说数量有限奇葩机子也没有实体店买的好
neg,都是成年人 玩**的文字游戏呢？
neg,写的送双肩背包，结果啥也没有，**一个
neg,这用了不到四天手机就开始有点卡了，
neg,手机才买没几天，已经好几次卡屏了
neg,屏幕有暗病呢？  黑屏，能看到有小白点
neg,手机不错 但是我还是要给个差评京东，因为上一部手机的问题
neg,不怎么行，刚用就感觉卡顿
neg,送货速度简直是龟速，没有一次是准时送到的
neg,手机外放声音自动变小！！！质量差！！什么情况？？
neg,手机不好用，怀疑是山寨版，挺后悔选择小米
neg,充满电12个小时几没电了中途还没有玩手机
neg,电池极不经用，屏幕反应迟钝。不如10X
neg,新手机就这样的，客服态度也不好！4天才收到货！
neg,京东物流没的说，但是产品售后啥也不是
neg,一般般，没想象的好用
neg,才买几天，就降价了，不给价格保护。质量一般，配置低。
neg,手机被出售过，打开手机有别人以前储存的聚餐及旅游照片
neg,手机你刷俩三个视频他就发烫。发烫严重
neg,这款手机不值得，建议购买其他手机
neg,定金100   说成优惠200元   含定金    出售还是一样价
neg,一直以为买的是小米note11 Pro，后来才弄清楚原来没有Pro，那你题目上写Pro干嘛
neg,手机插卡后没有信号，卡取不出来，而且售后极差。
neg,就我下单没赠品  牛批
neg,有bug，用了几天切换有点卡，得重启才能解决
neg,手机不咋地没有一个月出现关机重启多次
neg,用了-个月就开始卡了
neg,至今没有收到，也没电话通知！！！
neg,刚买回来，就烧了我的电话卡
neg,才用了19天主板就坏了，找客服处理净是在哪里敷衍
neg,连不上无线网，换了一个还是不好使
neg,"为什么 没有耳机
物流也没有按时到"
neg,才两天手机闪屏，还有一道一道的
neg,京东快递现在送东西都不打电话吗？直接没收到货就签收了
neg,因为着急用了，屏幕有一点划破，问售后没人理你
neg,手机到了，赠品没有到
neg,用了几天充电器就坏了，联系客服一直是机器人
neg,在送货的时候不负责，货和收货人不确定就自动收货了。
neg,第二天便宜一百块钱?
neg,能用  但是没有5G网
neg,这送的杯子用来喝水，今天擦杯口才发现是黑的。不会中毒吧？
neg,信号差差用两个月网都没有，经常断网，
neg,没有安规定时间送达，赠品没有及时送，为经过本人同意私自签收
neg,我刚买你就降价你几个意思 买的时候1299块货到之后再看1168块你说气不气
neg,刚刚收到，质量有问题，点屏幕没有反应
neg,手机还好，电池5000毫安也不可以，不禁用
neg,卡得要死按键还不灵敏，不知道是不是正品
neg,老年机，年轻人想打游戏就放弃吧，卡的一批。
neg,不耐电，屏幕反应迟钝。
neg,明明写的是双卡双待， 咋拿到手是单卡呢？
neg,收到的手机预装有很多不需要的软件
neg,好多功能都被阉割了，
neg,很耗电，不是很大，用着还行。
neg,手机信号不好反应慢。
neg,手机最基本通话功能都不行，干脆叫平板算了
neg,内无说明书，三保凭证，过后再评1，第一次买到这样的商品。
neg,总是掉wifi，还没去检测，但是新机就出问题，体验真差
neg,5月份生产出来的，6月搞活动，1299，买了两个，再降价，消费者伤不起！
neg,拍照效果：之前买的相机都不这样，现在这个一言难尽
neg,信号贼差。手机盒包装打开里面有指纹。怀疑不是新机
neg,就我下单没赠品  牛批
neg,手机用了19天主板就坏了，找客服处理就只会敷衍你
neg,手机颜色不够新鲜，今天早上没信号，这肯定是水货今后谁也别买小米手机
neg,不知为何经常闪屏  又不给我换???
neg,帮家里亲戚买的，还没用多久各种问题都有，难用的要死
neg,7天一过，就各种经常性的卡机，还是别人激活后的退货手机。
neg,只有一张卡可以用，另一张直接不能用
neg,拿到一段时间了，现在已经连不上网络了
neg,刚用几天就黑屏了，以后不在网上买东西了！
neg,经常性自动关机，才用一个月不到
neg,手机稍有卡顿 耗电量快 价格也比别的销售渠道贵二百多
neg,给老爸买的 上面写的清清楚楚价保618 刚买两天又送100优惠券 完了告诉我我的不能价保 外包装也是破的
neg,买的时候说有赠品 收到货的时候没有赠品 又说赠品有限 还不如直接说没有赠品
neg,放视频声音很尖锐，就是声音不好，而且经常听不到。
neg,搞活动就1299，没活动就1199！这韭菜割得真好！
neg,死机。接电话就死机。。。。。。。lj
neg,信号不好，钢化膜也没有，就贴个膜
neg,啥都不是，说好的赠品，已经好多天，送就送，不送就不送，几个意思&hellip;
neg,网速比我用了N年的4G手机还烂 卡的不行
neg,手机用了半个月发生好几次怎么按开锁键都黑屏什么都看不到
neg,手机不适合老年人使用 ，自动跳出广告，关都关不掉
neg,用几天就开始卡了，有时候还强制关机
neg,手机不好接，视频是黑屏的，前置摄像头不好
neg,打开一看，后面标签里面沾着一根头发，找客服就是抱歉抱歉抱歉，啥也不给解决
neg,相机拍照不清楚后置摄像头5000万像素拍出来发黑不满意
neg,新买的手机屏幕有问题，咨询了客服让我自己去维修店，如果没人处理的话我每天发一条
neg,充电快，但当天就要充，就算不怎么用也很快没电
neg,没有呼吸灯，屏幕太大
neg,打游戏不行，穿越飞车这种简单的手游都不行，会掉帧。
